Sigla;Nome;Car†ter;Qualis
SOCINFO;International Workshop on Social Informatics;;B4
SOCO;International Conference on Soft Computing Models in Industrial and Environmental Applications;;B4
SODA;ACM-SIAM Symposium on Discrete Algorithms;INTERNACIONAL;A1
SOFSEM;Conference on Current Trends in Theory and Practice of Computer Science;;B1
SOFTCOMM;International Conference on Software Telecommunications and Computer Networks;INTERNACIONAL;B4
Softvis;Software Visualization;;B1
SoICT;Symposium on Information and Communication Technology;;B5
SoMeT;Software Methodologies, Tools and Techniques;;B4
SOSE;International Symposium on Service-Oriented System Engineering;;B2
SOSP;ACM Symposium on Operating Systems Principles;INTERNACIONAL;A1
SOUPS;Symposium On Usable Privacy and Security;;B1
SPAA;ACM Symposium on Parallel Algorithms and Architectures;INTERNACIONAL;A2
SPEC;Workshop on Security and Privacy in E-commerce;INTERNACIONAL;
SPECTS;International Symposium on Performance Evaluation of Computer and Telecommunication Systems;INTERNACIONAL;B4
SPICE;International Software Process Improvement and Capability Determination Conference;INTERNACIONAL;B4
SPIRE;Symposium on String Processing and Information Retrieval;INTERNACIONAL;B1
SPL;Southern Conference on Programmable Logic;;B4
SPLC;Software Product Line Conference;INTERNACIONAL;A2
SPR;International Workshop on Statistical Techniques in Pattern Recognition;INTERNACIONAL;
SPW;International Workshop on Security Protocols;INTERNACIONAL;B4
SQC;Software and Systems Quality Conferences;INTERNACIONAL;B5
SQM;International Conference on Software Quality Management;INTERNACIONAL;B4
SRDS;IEEE International Symposium on Reliable Distributed Systems;INTERNACIONAL;A2
SREIS;Symposium on Requirements Engineering for Information Security;INTERNACIONAL;B4
SRIG-ET;Software Educaá∆on Conference;INTERNACIONAL;
SRUTI;Steps to Reducing Unwanted Traffic on the Internet Workshop;INTERNACIONAL;B4
SSBSE;International Symposium on Search Based Software Engineering;;B4
SSC;IFAC Conference on System Structure and Control;INTERNACIONAL;B4
SSDBM;International Conference on Scientific and Statistical Database Management;INTERNACIONAL;A2
SSI;Symposium on System and Information Security;NACIONAL;B4
SSIRI;Secure System Integration and Reliability Improvement;;B4
SSIRI-C;IEEE International Conference on Secure Software Integration and Reliability Improvement Companion;;B4
SSNDS;IEEE International Symposium on Security in Networks and Distributed Systems;INTERNACIONAL;
SSPR;International Workshop on Structural and Syntactic Pattern Recognition;INTERNACIONAL;B1
SSR;ACM SIGSOFT Working Conference on Software Reusability;INTERNACIONAL;B4
SSRR;IEEE International Workshop on Safety, Security, & Rescue Robots;;B4
SSST;Workshop on Syntax, Semantics and Structure in Statistical Translation;;B5
SSTD;International Symposium on Spatial and Temporal Databases;INTERNACIONAL;B1
STACS;International Symposium on Theoretical Aspects of Computer Science;INTERNACIONAL;A2
STAIRS;Starting Artificial Intelligence Research Symposium;;B4
STEP;IEEE International Workshop on Software Technology and Engineering Practice;;B3
STFSSD;Software Technologies for Future Dependable Distributed Systems;;B4
STIL;Brazilian Symposium in Information and Human Language Technology;;B4
STOC;ACM Symposium on Theory of Computing;INTERNACIONAL;A1
Storage;IEEE Symposium on Mass Storage Systems;;B1
SugarLoafPlop;Latin American Conference on Pattern Languages of Programming;;B5
SUPER;ACM/IEEE Supercomputing Conference;INTERNACIONAL;A1
SVR;Symposium on Virtual and Augmented Reality;NACIONAL;B4
SWAP;Workshop on Semantic Web Applications and Perspectives;;B3
SWAT;Scandinavian Symposium and Workshops on Algorithm Theory;;B1
SWEL;Workshop on Ontologies and Social Semantic Web for Intelligent Educational Systems;;B4
SWWS;Semantic Web and Web Services;INTERNACIONAL;A2
Syroco;International IFAC Symposium on Robot Control;INTERNACIONAL;B3
T4E;International Workshop on Technology for Education;;B5
TABLEAUX;International Conference on Theorem Proving with Analytic Tableaux and Related Methods;INTERNACIONAL;B1
TAC;Text Analysis Conference;;B2
TACAS;International Conference on Tools and Algorithms for the Construction and Analysis of Systems;INTERNACIONAL;A1
TAG;International Workhop on Tree Adjoining Grammar and Related Formalisms;INTERNACIONAL;
TAG+;International Workhop on Tree Adjoining Grammar and Related Formalisms;;B4
TAKMA;International Workshop on Theory and Applications of Knowledge Management;INTERNACIONAL;
TALN;Traitement Automatique des Langues Naturelles;;B4
TAMODIA;International Workshop on Task Models and Diagrams for User Interface Design;INTERNACIONAL;
TAP;Tests and Proofs;;B3
TaPP;USENIX Workshop on the Theory and Practice of Provenance;;B4
TAPSOFT;International Joint Conference on Theory and Practice of Software Development;INTERNACIONAL;
TARK;Conference on Theoretical Aspects of Rationality and Knowledge;;B2
TASE;IEEE/IFIP International Symposium on Theoretical Aspects of Software Engineering;;B3
TAU;IEEE International Workshop on Timing Issues;;B4
TCC;Theory of Cryptography Conference;INTERNACIONAL;A2
TCGOV;International Conference on E-Government;;B4
TCoB;International Workshop on Technologies for Collaborative Business Process Management;;B5
TCS;IFIP International Conference on Theoetical Computer Science;INTERNACIONAL;B1
TE;International Conference on Technology Educaá∆on;INTERNACIONAL;
TEAA;International Conference on Trends in Enterprise Application Architecture;;B4
TEAR;Trends in Enterprise Architecture Research;;B5
TECHEDUCA;International Conference on Technology Enhanced Learning, Quality of Teaching and Education Reform;;B4
TEI;Tangible and Embedded Interaction;;B1
TEL;Technology for Education and Learning;;B5
TES;International Workshop on Technologies for E-Services;;B2
TestCom;IFIP International Conference on Testing Communicating Systems;INTERNACIONAL;
TextGraphs;Graph-based Methods for Natural Language Processing;;B4
TFP;Trends in Functional Programming;INTERNACIONAL;B3
TIDSE;International Conference on Technology for Interactive Digital Storytelling and Entertainment;INTERNACIONAL;B2
TIME;International Symposium on Temporal Representation and Reasoning;INTERNACIONAL;B1
TISE;Taller Internacional de Software Educativo;;B4
TLCA;Typed Lambda Calculus and Applications;INTERNACIONAL;B1
TLT;International Workshop on Treebanks and Linguistic Theories;;B4
TMRA;International Conference on Topic Maps Research and Applications;;B5
TOOLS;Technology of Object-Oriented Languages and Systems Conferences;INTERNACIONAL;B1
TPDL;International Conference on Theory and Practice of Digital Libraries;;B1
TPHOLs;International Conference on Theorem Proving in Higher Order Logics;INTERNACIONAL;B1
TREC;Text Retrieval Conference;INTERNACIONAL;A2
TRIDENTCOM;International Conference on Testbeds and Research Infrastructure for the Development of Networks and Communities;;B1
TRUST;Trust in Agent Societies;;B4
TSD;International Conference on Text Speech and Dialogue;INTERNACIONAL;B1
UAI;Conference in Uncertainty in Artifical Intelligence;INTERNACIONAL;A1
UBICOMM;International Conference on Mobile Ubiquitous Computing, Systems, Services and Technologies;;B3
UbiComp;International Conference on Ubiquitous Computing;INTERNACIONAL;A1
UCAS;International Workshop on Unique Chips and Systems;;B4
UDMS;Urban Data Management Symposium;INTERNACIONAL;B4
UIC;International Conference on Ubiquitous Intelligence and Computing;INTERNACIONAL;B2
UIST;ACM Symposium on USer Interface Software and Technology;INTERNACIONAL;A1
UM;International Conference on User Modelling;INTERNACIONAL;
UMAP;International Conference on User Modeling, Adaption and Personalization;;B1
UML;International Conference on the Unified Modeling Language;INTERNACIONAL;
UNISCON;International United Information Systems Conference;;B4
URSW;Uncertainty Reasoning for the Semantic Web;;B4
USENIX;USENIX Annual Technical Conference;INTERNACIONAL;A1
USITS;USENIX Symposium on Internet Technologies and Systems;INTERNACIONAL;B1
VAMOS;International Workshop on Variability Modelling of Software-intensive Systems;;B3
VAST;IEEE Symposium on Visual Analytics Science and Technology;;B1
VCIP;SPIE International Conference on Visual Communications and Image Processing;INTERNACIONAL;B1
VDEA;SPIE Conference on Visual Data Exploration and Analysis;INTERNACIONAL;B5
VECIMS;IEEE International Conference on Virtual Environments Human-Computer Interfaces and Measurement Systems;INTERNACIONAL;B4
VECPAR;International Meeting on High Performance Computing for Computational Science;INTERNACIONAL;B4
VG;IEEE International Workshop on Volume Graphics;;B4
VIIP;International Conference on Visualization: Imaging and Image Processing;INTERNACIONAL;B3
Virtual;International Workshop on Virtual Rehabilitation;INTERNACIONAL;B4
Vis;IEEE Visualization Conference;INTERNACIONAL;B4
VISAPP;International Conference on Computer Vision Theory and Applications;INTERNACIONAL;B3
VISUAL;International Conference on Visual Information Systems;INTERNACIONAL;B2
VIZSEC;IEEE Workshops on Visualization for Computer Security;;B1
VL;IEEE Symposium on Visual Languages and Human-Centric Computing;INTERNACIONAL;
VL/HCC;IEEE Symposium on Visual Languages and Human-Centric Computing;;B1
VLDB;International Conference on Very Large Data Bases;INTERNACIONAL;
VLFM;Symposium on Visual Languages and Formal Methods;INTERNACIONAL;B4
VLSI-DAT;International Symposium on VLSI Design, Automation and Test;;B4
VLSI-SOC;IFIP International Conference on Very Large Scale Integration;INTERNACIONAL;B3
VLSID;International Conference on VLSI Design;INTERNACIONAL;A2
VMCAI;Verification, Model Checking, and Abstract Interpretation;INTERNACIONAL;A2
VMIL;Workshop on Virtual Machines and Intermediate Languages;;B4
VNC;IEEE Vehicular Networking Conference;;B4
VR;IEEE Virtual Reality Conference;INTERNACIONAL;A2
VRCAI;International Conference on Virtual Reality Continuum and its Applications in Industry;;B2
VRCIA;ACM SIGGRAPH International Conference on Virtual-Reality Continuum and its Applications in Industry;INTERNACIONAL;B2
VRST;ACM Virtual Reality Software and Technology;INTERNACIONAL;B1
VS-Games;IEEE Conference in Serious Games and Virtual Worlds;;B4
VSMM;International Conference on Virtual Systems and MultiMedia;INTERNACIONAL;B3
VSSN;ACM International Workshop on Video Surveillance and Sensor Networks;INTERNACIONAL;B2
VTC;IEEE Vehicular Technology Conference;INTERNACIONAL;A1
VTS;IEEE VLSI Test Symposium;INTERNACIONAL;A2
W2GIS;International Workshop on Web and Wireless Geographical Information Systems;INTERNACIONAL;B3
W4A;International Cross-Disciplinary Conference on Web Accessibility;INTERNACIONAL;B1
WAAMD;Workshop em Algoritmos e Aplicaá‰es de Mineraá∆o de Dados;NACIONAL;B4
WABI;Workshop on Algorithms in Bioinformatics;INTERNACIONAL;B1
WAC;Web as Corpus Workshop;;B4
WACC;WSEAS Applied Computing Conference;;B5
WACERTS;Workshop on Architectures for Cooperative Embedded Real-Time Systems;INTERNACIONAL;B5
WACV;IEEE Workshop on Applications of Computer Vision;INTERNACIONAL;B1
WADS;Workshop on Algorithms and Data Structures;INTERNACIONAL;B1
WADS_A;Workshop on Architecting Dependable Systems;INTERNACIONAL;B1
WAFR;Workshop on the Algorithmic Foundations of Robotics;INTERNACIONAL;B4
WAIM;Interational Conference on Web Age Information Management;INTERNACIONAL;B2
WAIS;International Workshop on Artificial Intelligence and Statistics;INTERNACIONAL;B3
WAMCA;Workshop on Architecture for Multi-Core Applications;;B5
WAMPS;Workshop anual do MPS.BR pessoal enviou meta-dados separadamente);;B5
WAOA;Workshop on Approximation and Online Algorithms;INTERNACIONAL;B4
WASA;International Conference on Wireless Algorithms Systems and Applications;;B4
WASSA;Workshop on Computational Approaches to Subjectivity and Sentiment Analysis;;B5
WBC;Web Based Communities;;B4
WBE;International Symposium on Web-based Education;INTERNACIONAL;B5
WBPM;Workshop Brasileiro de Gest∆o de Processos de Neg¢cio;;B5
WCAE;Workshop on Computer Architecture Education;INTERNACIONAL;B4
WCAMA;Workshop de Computaá∆o Aplicada Ö Gest∆o do Meio Ambiente e Recursos Naturais;;B5
WCCE;IFIP World Conference on Computers in Education;INTERNACIONAL;B4
WCCI;IEEE World Congress on Computational Intelligence;INTERNACIONAL;B4
WCCM;World Congress on Computational Mechanics;;B3
WCGA;Workshop de Computaá∆o em Grade e Aplicaá‰es;NACIONAL;B4
WCGE;Workshop de Computaá∆o Aplicada em Governo Eletrìnico;;B5
WCNC;IEEE Wireless and Communications and Networking Conference;INTERNACIONAL;A2
WCOLDE;ICDE World Conference on Open Learning and Distance Education;;B4
WCRE;IEEE Working Conference on Reverse Engineering;INTERNACIONAL;A2
WCSMO;World Congress on Structural and Multidisciplinary Optimization;INTERNACIONAL;A2
WCW;Web Caching Workshop;INTERNACIONAL;B3
WD;IFIP Wireless Days;;B4
WDAG;Workshop on Distributed Algorithms;INTERNACIONAL;
WDBC;Worshop Brasileiro de Desenvolvimento Baseado em Componentes;NACIONAL;B5
WDDD;Workshop on Duplicating, Deconstructing and Debunking;;B4
WDDDM;Workshop on Dependable Distributed Data Management;;B4
WDL;Workshop de Bibliotecas Digitais;NACIONAL;B5
WEA;Workshop on Experimental Algorithms;INTERNACIONAL;
WEAC;Workshop sobre Educaá∆o em Arquitetura de Computadores;;B5
Web3D;International Conference on 3D Web Technology;INTERNACIONAL;B1
WebDB;International Workshop on the Web and Databases;INTERNACIONAL;B1
WEBIST;International Conference on Web Information Systems and Technologies;INTERNACIONAL;B3
WebKDD;Web Mining and Web Usage Analysis;;B4
WEBMEDIA;Brazilian Symposium on Multimedia and the Web;NACIONAL;B3
WebNet;World Conference on the WWW and Internet;INTERNACIONAL;B2
WebPRES;Web Personalization and Recommender Systems;;B5
WECWIS;Workshop on Advanced Issues of E-Commerce and Web Based Information Systems;INTERNACIONAL;
WEED;Workshop on Energy-Efficient Design;;B5
WEI;Workshop sobre Educaá∆o em Inform†tica;NACIONAL;B4
WEIS;Workshop on the Economics of Information Security;;B1
WER;Workshop de Engenharia de Requisitos;NACIONAL;B3
WES;International Workshop on Web Services, E-Business, and the Semantic Web;;B2
WESAAC;Workshop-Escola de Sistemas de Agentes, seus Ambientes e Aplicaá‰es;;B5
WETICE;IEEE International Workshops on Enabling Technologies: Infrastructure for Collaborative Enterprises;INTERNACIONAL;B1
WFLP;International Workshop on Functional and Constraint) Logic Programming;INTERNACIONAL;B4
WG;International Workshop on Graph-Theoretic Concepts in Computer Science;INTERNACIONAL;B1
WGRS;Workshop de Gerància e Operaá∆o de Redes e Serviáos;NACIONAL;B5
WI;IEEE/WIC/ACM International Conference on Web Intelligence;INTERNACIONAL;A2
WICON;International Conference on Wireless Internet;;B3
WICSA;Working IEEE/IFIP Conference on Software Architecture;INTERNACIONAL;B1
WIDM;ACM International Workshop on Web Information and Data Management;INTERNACIONAL;B1
WIE;Workshop sobre Inform†tica na Escola;NACIONAL;B3
WIM;Workshop de Inform†tica MÇdica;;B4
WiMOB;IEEE International Conference on Wireless and Mobile Computing, Networking and Communications;;B1
WiOpt;International Symposium on Modeling and Optimization in Mobile Ad Hoc and Wireless Networks;INTERNACIONAL;B1
WIS;International Workshop on Wireless Information Systems;;B4
WISA;Web Information Systems and Applications Conference;;B4
WISE;International Conference on Web Information Systems Engineering;INTERNACIONAL;B1
WISEC;Wireless Network Security;;B1
WISM;Web Information Systems Modeling;;B4
WiSME;Workshop in Software Model Engineering;INTERNACIONAL;
WISP;IEEE International Workshop on Intelligent Signal Processing;;B3
WISTDCS;WOMBAT Workshop on Information Security Threats Data Collection and Sharing;;B4
WITS;Workshop on Information Technologies and Systems;INTERNACIONAL;B3
WKDD;International Workshop on Knowledge Discovery and Data Mining;;B4
WMIS;Workshop on Mobile Information Systems;;B3
WMT;Workshop on Statistical Machine Translation;;B5
WMUTE;IEEE Wireless, Mobile and Ubiquitous Technologies in Education;;B3
WOCC;Annual Wireless and Optical Communications Conference;;B2
WOCN;IFIP International Conference on Wireless and Optical Communications Networks;;B2
WoLLIC;Workshop on Logic, Language, Information and Computation;INTERNACIONAL;B3
WOMSDE;Workshop on Ontologies and Metamodels in Software Engineering WOMSDE);NACIONAL;B4
WONS;International Conference on Wireless on Demand Network Systems and Service;;B4
WORDS;IEEE International Workshop on Object-Oriented Real-Time Dependable Systems;INTERNACIONAL;B1
WORKS;Workshop on Workflows in Support of Large-Scale Science;;B4
WorldHAPTICS;Joint EUROHAPTICS Conference and Symposium on Haptics Interfaces for Virtual Environment and Teleoperator Systems;INTERNACIONAL;B1
WORM;ACM Workshop on Recurring Malcode;INTERNACIONAL;B1
WoSAR;International Workshop on Software Aging and Rejuvenation;;B4
WoSIDA;Workshop on Autonomic Distributed Systems;;B5
WoWMoM;IEEE International Symposium on a World of Wireless, Mobile and Multimedia Networks;INTERNACIONAL;B3
WP2P;Workshop de Peer-to-Peer;NACIONAL;B5
WPERFORMANCE;Workshop em Desempenho de Sistemas Computacionais e de Comunicaá∆o;NACIONAL;B5
WRC;Workshop on Reconfigurable Computing;;B4
WRS;International Workshop on Reduction Strategies in Rewriting and Programming;INTERNACIONAL;B5
WRT;International Workshop on Refactoring Tools;;B4
WRVA;Workshop de Realidade Virtual e Aumentada;;B5
WS-REST;International Workshop on RESTful Design;;B4
WSC;Winter Simulation Conference;INTERNACIONAL;A1
WSCAD;Workshop em Sistemas Computacionais de Alto Desempenho;NACIONAL;
WSCAD-SSC;Simp¢sio em Sistemas Computacionais;;B4
WSCG;International Conferences in Central Europe on Computer Graphics, Visualization and Computer Vision;;B1
WSDM;International Conference on Web Search and Data Mining;;B1
WSE;IEEE International Symposium on Web Systems Evolution;;B2
WSKS;World Summit on the Knowledge Society;;B4
WSNA;ACM International Conference on Wireless Sensor Networks and Application;;B1
WSO;Workshop de Sistemas Operacionais;NACIONAL;
WSOM;Workshop on Self-Organizing Maps;;B4
WSPI;International Workshop on Philosophy and Informatics;;B4
WSWED;Brazilian Workshop on Semantic Web and Education;;B5
WTF;Workshop de Testes e TolerÉncia a Falhas;NACIONAL;B4
WTI;International Workshop on Web and Text Intelligence;;B5
WTR;Workshop Brasileiro de Tempo Real e Sistemas Embarcados;NACIONAL;
WTS;Wireless Telecommunications Symposium;;B3
WUWNET;International Conference on Underwater Networks;;B2
WVC;Workshop de Vis∆o computacional;;B5
WWIC;Wired/Wireless Internet Communications;;B3
WWW;International World Wide Web Conference;INTERNACIONAL;A1
WWW_A;IADIS International Conference WWW/Internet;INTERNACIONAL;
X-Meeting;International Conference of the Brazilian Association for Bioinformatics and Computational Biology;;B4
XP;International Conference on Agile Processes in Software Engineering and eXtreme Programming;INTERNACIONAL;B2
XSym;International XML Database Symposium;INTERNACIONAL;B3
